infection scenario,"time point
[hours]","viral load lung
[NP copies/100µg RNA]","bacerial burden lung
[CFU/mL]","IFN-γ
[pg/mL]","TNF-α
[]pg/mL]","MCP-1
[pg/mL]","IL-6
[pg/mL]","IFN-β
[pg/mL]","IL-22
[pg/mL]","GM-CSF 
[pg/mL]"
IAV,1.5,137060.1,0,26094.528,99.456,427.392,2732.4,2464.848,19.824,251.088
IAV,1.5,73532.84,0,20254.848,173.568,297.264,2874.336,5791.536,25.344,329.376
IAV,1.5,366501.8,0,5433.4,190.4,165.75,5416.0,0.0,373.45,0.0
IAV,1.5,39985.85,0,12923.1,163.84,408.9,3287.99,1794.92,23.5,0.0
IAV,1.5,181103.2,0,4403.02,22.72,118.24,517.26,0.0,0.0,0.0
IAV,1.5,123001.3,0,138.87,106.41,34.88,53.55,1227.57,0.0,50.73
IAV,1.5,180120.5,0,122.54,103.63,28.32,24.96,1186.47,0.0,66.04
IAV,6.0,213540.0,0,10348.2,49.81,191.2,3622.99,1329.92,11.13,86.17
IAV,6.0,189586.3,0,7953.56,153.67,297.28,2213.06,1353.25,10.78,123.17
IAV,6.0,100488.2,0,15170.02,142.07,221.89,2816.03,872.28,9.21,0.0
IAV,6.0,204467.4,0,12262.09,134.59,254.45,3062.85,926.57,8.42,0.0
IAV,6.0,47564.04,0,1423.93,19.08,117.65,742.33,0.0,0.0,0.0
IAV,18.0,112769.45901,0,8269.0,131.51,221.88,497.61,1112.42,0.0,61.53
IAV,18.0,112769.45901,0,7021.6,88.98,126.1,407.72,0.0,0.0,343.4
IAV,18.0,112769.45901,0,41266.0,113.94,196.94,321.08,1080.09,428.4,61.53
IAV,18.0,112769.45901,0,7705.2,121.1,263.84,1356.12,1289.35,0.0,56.74
IAV,26.0,43966.06,0,27356.8,1141.8,482.18,4258.2,2962.4,446.97,883.6
IAV,26.0,284559.9,0,12951.456,227.376,249.696,1934.88,6383.616,79.152,723.264
IAV,26.0,386.7354,0,8195.39,108.93,165.99,1750.3,1442.74,19.01,152.77
IAV,26.0,19872.53,0,73008.0,273.55,309.0,6118.68,2789.94,50.81,102.41
IAV,26.0,87196.30635,0,3134.3,1.94,54.99,288.27,0.0,0.0,0.0
IAV,26.0,87196.30635,0,26258.6,129.22,198.69,2159.74,948.19,11.99,46.12
IAV,26.0,87196.30635,0,2657.6,74.93,86.72,310.63,773.61,0.0,29.89
IAV,31.0,28336.1,0,2355.168,296.496,205.296,506.016,8578.752,97.152,554.112
IAV,31.0,1389.333,0,7224.09,191.87,153.97,967.5,3571.99,146.52,697.7
IAV,31.0,4678.344,0,832.78,33.61,48.53,251.26,452.72,6.0,61.27
IAV,31.0,39011.23,0,7221.95,93.03,127.61,809.05,978.18,7.61,0.0
IAV,31.0,894.8998,0,19193.2,133.74,140.74,675.49,991.51,0.0,52.5
T4,1.5,0.0,3000,137.62,352.9,36.49,14.32,4355.67,8.63,306.76
T4,1.5,0.0,290,322.0,147.16,39.55,76.47,2217.22,97.94,306.76
T4,1.5,0.0,2130,115.6,19.08,0.0,2.73,0.0,0.0,0.0
T4,1.5,0.0,3000,4.28,17.87,15.2823471849564,20.46,814.91,4.78,0.0
T4,1.5,0.0,3000,40.83,50.17,12.1834936941119,7.1,350.98,1.57,0.0
T4,1.5,0.0,200,21.84,29.75,10.49,10.83,790.63,0.0,26.02
T4,1.5,0.0,1580,56.99,72.37,9.01,13.29,1033.25,0.0,51.62
T4,6.0,0.0,1520,181.35,51.03,34.14,15.48,1464.23,14.86,148.56
T4,6.0,0.0,3200,150.58,72.18,32.64,21.83,1442.74,15.85,162.86
T4,6.0,0.0,500000,8237.8,1072.8,0.0,1446.62,4442.2,0.0,0.0
T4,6.0,0.0,1520,10717.2,34.81,0.0,37.94,0.0,16.1,0.0
T4,6.0,0.0,240,123.64,70.54,32.43,30.97,1360.87,35.49,102.41
T4,18.0,0.0,1,0.0,17.05,9.77,0.0,832.1,12.14,67.49
T4,18.0,0.0,5000,43.33,70.47,13.03,27.14,1180.48,18.18,89.48
T4,18.0,0.0,3800,91.47,176.61,90.2,510.84,1053.56,19.15,53.37
T4,18.0,0.0,1,0.0,0.0,7.77,29.24,799.04,0.0,21.82
T4,26.0,0.0,7000,0.0,0.0,0.0,7.46,0.0,0.0,0.0
T4,26.0,0.0,1,0.0,2268.0968,0.0,5.72,0.0,0.0,0.0
T4,26.0,0.0,1,212.67,2598.14,37.84,19.02,2024.01,29.59,193.31
T4,26.0,0.0,1,1.94,1072.8,0.0,3.84,350.98,13.1,0.0
T4,26.0,0.0,1,46.95,3698.6,10.49,0.0,1019.5,0.0,56.74
T4,26.0,0.0,0,1042.416,3970.944,191.856,122.352,8413.104,7761.6,800.304
T4,26.0,0.0,1,55.73,2268.0968,15.94,19.19,1026.4,10.32,71.69
T4,31.0,0.0,1,212.67,68.75,39.97,19.82,1886.31,11.13,713.088
T4,31.0,0.0,1,346.272,13.728,0.0,13.344,2924.208,8.592,251.088
T4,31.0,0.0,640,94.96,60.49,35.65,27.56,2232.39,49.78,200.03
T4,31.0,0.0,280,109.08,59.35,33.27,22.79,1767.98,42.06,164.05
T4,31.0,0.0,7700,249.74,71.64,53.26,52.73,2731.28,30.63,211.99
IAV + T4,1.5,157814.6,2550,22941.648,472.8,371.088,1643.184,11244.864,77.616,762.72
IAV + T4,1.5,480895.0,50,11119.49,64.11,179.86,1116.19,881.81,11.13,86.17
IAV + T4,1.5,300843.5,1740,45137.0,124.77,234.67,859.11,729.94,0.0,36.9
IAV + T4,1.5,141369.4,3000,44628.8,143.09,475.34,2475.21,903.16,13.04,15.49
