,lens1,lens2,lens1_n_cubes,lens2_n_cubes,lens1_perc_overlap,lens2_perc_overlap,eps,n_vertices,n_connected_components
0,neighbour_1,IL-6,1,1,0.1,0.1,0.1,6,6
1,neighbour_1,IL-6,1,1,0.1,0.1,0.30000000000000004,3,3
2,neighbour_1,IL-6,1,1,0.1,0.1,0.5000000000000001,1,1
3,neighbour_1,IL-6,1,1,0.1,0.1,0.7000000000000001,1,1
4,neighbour_1,IL-6,1,1,0.1,0.1,0.9000000000000001,1,1
5,neighbour_1,IL-6,1,1,0.1,0.1,1.1000000000000003,1,1
6,neighbour_1,IL-6,1,1,0.1,0.1,1.3000000000000003,1,1
7,neighbour_1,IL-6,1,1,0.1,0.1,1.5000000000000004,1,1
8,neighbour_1,IL-6,1,1,0.1,0.1,1.7000000000000004,1,1
9,neighbour_1,IL-6,1,1,0.1,0.1,1.9000000000000004,1,1
10,neighbour_1,IL-6,1,1,0.1,0.3,0.1,6,6
11,neighbour_1,IL-6,1,1,0.1,0.3,0.30000000000000004,3,3
12,neighbour_1,IL-6,1,1,0.1,0.3,0.5000000000000001,1,1
13,neighbour_1,IL-6,1,1,0.1,0.3,0.7000000000000001,1,1
14,neighbour_1,IL-6,1,1,0.1,0.3,0.9000000000000001,1,1
15,neighbour_1,IL-6,1,1,0.1,0.3,1.1000000000000003,1,1
16,neighbour_1,IL-6,1,1,0.1,0.3,1.3000000000000003,1,1
17,neighbour_1,IL-6,1,1,0.1,0.3,1.5000000000000004,1,1
18,neighbour_1,IL-6,1,1,0.1,0.3,1.7000000000000004,1,1
19,neighbour_1,IL-6,1,1,0.1,0.3,1.9000000000000004,1,1
20,neighbour_1,IL-6,1,1,0.1,0.5,0.1,6,6
21,neighbour_1,IL-6,1,1,0.1,0.5,0.30000000000000004,3,3
22,neighbour_1,IL-6,1,1,0.1,0.5,0.5000000000000001,1,1
23,neighbour_1,IL-6,1,1,0.1,0.5,0.7000000000000001,1,1
24,neighbour_1,IL-6,1,1,0.1,0.5,0.9000000000000001,1,1
25,neighbour_1,IL-6,1,1,0.1,0.5,1.1000000000000003,1,1
26,neighbour_1,IL-6,1,1,0.1,0.5,1.3000000000000003,1,1
27,neighbour_1,IL-6,1,1,0.1,0.5,1.5000000000000004,1,1
28,neighbour_1,IL-6,1,1,0.1,0.5,1.7000000000000004,1,1
29,neighbour_1,IL-6,1,1,0.1,0.5,1.9000000000000004,1,1
30,neighbour_1,IL-6,1,1,0.1,0.7,0.1,6,6
31,neighbour_1,IL-6,1,1,0.1,0.7,0.30000000000000004,3,3
32,neighbour_1,IL-6,1,1,0.1,0.7,0.5000000000000001,1,1
33,neighbour_1,IL-6,1,1,0.1,0.7,0.7000000000000001,1,1
34,neighbour_1,IL-6,1,1,0.1,0.7,0.9000000000000001,1,1
35,neighbour_1,IL-6,1,1,0.1,0.7,1.1000000000000003,1,1
36,neighbour_1,IL-6,1,1,0.1,0.7,1.3000000000000003,1,1
37,neighbour_1,IL-6,1,1,0.1,0.7,1.5000000000000004,1,1
38,neighbour_1,IL-6,1,1,0.1,0.7,1.7000000000000004,1,1
39,neighbour_1,IL-6,1,1,0.1,0.7,1.9000000000000004,1,1
40,neighbour_1,IL-6,1,1,0.1,0.9,0.1,6,6
41,neighbour_1,IL-6,1,1,0.1,0.9,0.30000000000000004,3,3
42,neighbour_1,IL-6,1,1,0.1,0.9,0.5000000000000001,1,1
43,neighbour_1,IL-6,1,1,0.1,0.9,0.7000000000000001,1,1
44,neighbour_1,IL-6,1,1,0.1,0.9,0.9000000000000001,1,1
45,neighbour_1,IL-6,1,1,0.1,0.9,1.1000000000000003,1,1
46,neighbour_1,IL-6,1,1,0.1,0.9,1.3000000000000003,1,1
